Sample	ValleyStart	ValleyEnd	FirstMinPosition	MinValue	group_id
CWI18174	29	80	53	2.0	1
CWI86977	29	80	53	2.0	1
ninivev1	29	80	53	2.0	1
SRR13358662	29	80	53	2.0	1
SRR13358663	29	80	53	2.0	1
SRR13358679	29	80	53	2.0	1
TA10422	29	80	53	2.0	1
TA1077	29	80	53	2.0	1
TA1080	29	80	53	2.0	1
TA1082	29	80	53	2.0	1
TA1093	29	80	53	2.0	1
TA11051	29	80	53	2.0	1
TA1112	29	80	53	2.0	1
TA11136	29	80	53	2.0	1
TA11137	29	80	53	2.0	1
TA11138	29	80	53	2.0	1
TA11139	29	80	53	2.0	1
TA11140	29	80	53	2.0	1
TA11141	29	80	53	2.0	1
TA11142	29	80	53	2.0	1
TA11148	29	80	53	2.0	1
TA11152	29	80	53	2.0	1
TA11153	29	80	53	2.0	1
TA11154	29	80	53	2.0	1
TA11155	29	80	53	2.0	1
TA1115	29	80	53	2.0	1
TA1119	29	80	53	2.0	1
TA11222	29	80	53	2.0	1
TA11223	29	80	53	2.0	1
TA11224	29	80	53	2.0	1
TA11225	29	80	53	2.0	1
TA11229	29	80	53	2.0	1
TA11230	29	80	53	2.0	1
TA11231	29	80	53	2.0	1
TA11232	29	80	53	2.0	1
TA11242	29	80	53	2.0	1
TA11243	29	80	53	2.0	1
TA11244	29	80	53	2.0	1
TA11245	29	80	53	2.0	1
TA11246	29	80	53	2.0	1
TA11247	29	80	53	2.0	1
TA11248	29	80	53	2.0	1
TA11252	29	80	53	2.0	1
TA11254	29	80	53	2.0	1
TA11255	29	80	53	2.0	1
TA11256	29	80	53	2.0	1
TA1134	29	80	53	2.0	1
TA1136	29	80	53	2.0	1
TA1143	29	80	53	2.0	1
TA1148	29	80	53	2.0	1
TA1386	29	80	53	2.0	1
TA2016	29	80	53	2.0	1
TA2017	29	80	53	2.0	1
TA2018	29	80	53	2.0	1
TA90	29	80	53	2.0	1
TA94	29	80	53	2.0	1
TA993	29	80	53	2.0	1
TA99	29	80	53	2.0	1
