Sample	ValleyStart	ValleyEnd	FirstMinPosition	MinValue	group_id
AS18	92	141	114	4.0	2
SRR13358671	95	146	119	2.0	2
WEW_PI_656872	95	146	119	2.0	2
SRR13358704	256	301	274	8.0	18
CRR290154	256	303	276	6.0	18
CS25	256	303	276	6.0	18
NARMADA	256	303	276	6.0	18
SRR13358719	256	303	276	6.0	18
SRR15681642	256	303	276	6.0	18
SRR33393244	256	303	276	6.0	18
SRR33393268	256	303	276	6.0	18
SRR33480653	256	303	276	6.0	18
SRR33695030	256	303	276	6.0	18
SRR33695032	256	303	276	6.0	18
SRR33695037	256	303	276	6.0	18
SRR33779391	256	303	276	6.0	18
TA1007	256	303	276	6.0	18
TA1082	256	303	276	6.0	18
TA1093	256	303	276	6.0	18
TA11051	256	303	276	6.0	18
TA1108	256	303	276	6.0	18
TA11136	256	303	276	6.0	18
TA11137	256	303	276	6.0	18
TA11138	256	303	276	6.0	18
TA11139	256	303	276	6.0	18
TA11153	256	303	276	6.0	18
TA11158	256	303	276	6.0	18
TA11159	256	303	276	6.0	18
TA1115	256	303	276	6.0	18
TA11213	256	303	276	6.0	18
TA11223	256	303	276	6.0	18
TA11224	256	303	276	6.0	18
TA11225	256	303	276	6.0	18
TA11231	256	303	276	6.0	18
TA11244	256	303	276	6.0	18
TA11247	256	303	276	6.0	18
TA11252	256	303	276	6.0	18
TA1134	256	303	276	6.0	18
TA2016	256	303	276	6.0	18
TA2017	256	303	276	6.0	18
TA993	256	303	276	6.0	18
WEW_PI_654319	256	303	276	6.0	18
WEW_TD_023697	256	303	276	6.0	18
HI617SUJATA	256	306	279	3.0	18
Hindi62	256	306	279	3.0	18
K7903HALNA	256	306	279	3.0	18
Mundia	256	306	279	3.0	18
NI5439	256	306	279	3.0	18
SONORA64	256	306	279	3.0	18
SRR33480656	256	306	279	3.0	18
SRR33613748	256	306	279	3.0	18
SRR33695019	256	306	279	3.0	18
SRR33779375	256	306	279	3.0	18
SRR33779378	256	306	279	3.0	18
SRR33779390	256	306	279	3.0	18
TA11140	256	306	279	3.0	18
TA11212	256	306	279	3.0	18
TA11235	256	306	279	3.0	18
TA11246	256	306	279	3.0	18
TA980	256	306	279	3.0	18
SRR13358706	256	308	281	1.0	18
SRR33695028	256	308	281	1.0	18
SRR33695034	256	308	282	1.0	18
TA11245	256	308	281	1.0	18
WEW_PI_656869	256	308	281	1.0	18
BANSI224	256	309	282	0.0	18
HD2967	256	309	282	0.0	18
HI1500AMRITA	256	309	282	0.0	18
Jhusia	256	309	282	0.0	18
K53	256	309	282	0.0	18
K68	256	309	282	2.0	18
KharchiaLalGehun	256	309	282	0.0	18
LGM165	256	309	281	1.0	18
MACS6222	256	309	282	0.0	18
NEPHAD4	256	309	282	0.0	18
UP2338	256	309	282	0.0	18
TA11242	257	303	276	7.0	20
SRR18289621	257	306	279	4.0	20
GW322	258	303	276	8.0	20
89S28	260	306	279	7.0	20
HD2888	261	306	279	8.0	20
SRR33393286	262	294	267	21.0	21
IC111853	262	306	279	9.0	20
SRR33695000	262	308	281	7.0	20
SRR33695036	263	306	279	10.0	22
SRR33393265	264	306	279	11.0	23
WH147	264	306	279	11.0	23
W8_SRR7478274	265	296	269	22.0	21
SRR13358692	265	297	279	21.0	21
TA1406	265	298	271	20.0	22
Motia	265	301	274	17.0	22
SRR13358662	265	303	276	15.0	22
SRR13358666	265	303	276	15.0	22
SRR13358691	265	303	276	15.0	22
SRR18289622	265	303	276	15.0	22
TA1063	265	303	276	15.0	22
TA1065	265	303	276	15.0	22
TA11149	265	303	276	15.0	22
TA11165	265	303	276	15.0	22
TA11218	265	303	276	15.0	22
TA11230	265	303	276	15.0	22
TA67	265	303	276	15.0	22
UP262	265	303	276	15.0	22
TA1064	265	305	278	13.0	23
TA1074	265	305	278	13.0	23
TA110	265	305	278	13.0	23
TA77	265	305	278	13.0	23
SRR13358683	265	306	279	12.0	23
TA1041	265	306	279	12.0	23
TA1045	265	306	279	12.0	23
TA1061	265	306	279	12.0	23
TA109	265	306	279	12.0	23
TA11163	265	306	279	12.0	23
TA11167	265	306	279	12.0	23
TA111	265	306	279	12.0	23
TA114	265	306	279	12.0	23
TA119	265	306	279	12.0	23
TA69	265	306	279	12.0	23
TA11234	265	308	281	10.0	23
DHARWAD	266	303	276	16.0	22
TA11241	266	303	276	16.0	22
HUW234MALVIYA234	266	305	278	14.0	23
TA11238	266	306	279	13.0	23
SRR33779386	267	298	271	22.0	22
TA11227	267	300	273	20.0	22
TA1144	267	300	273	20.0	22
CRR289913	267	303	276	17.0	22
GW2	267	303	276	17.0	22
SRR13358723	267	303	276	17.0	22
SRR14251465	267	303	276	17.0	22
SRR15208100	267	303	276	17.0	22
SRR33393245	267	303	276	17.0	22
SRR33393263	267	303	276	17.0	22
SRR33393266	267	303	276	17.0	22
SRR33393285	267	303	276	17.0	22
SRR33613714	267	303	276	17.0	22
SRR33613746	267	303	276	17.0	22
SRR33613749	267	303	276	17.0	22
SYMonument	267	303	276	17.0	22
SYR-L2	267	303	276	17.0	22
TA1112	267	303	276	17.0	22
TA11141	267	303	276	17.0	22
TA11154	267	303	276	17.0	22
TA1120	267	303	276	17.0	22
TA11248	267	303	276	17.0	22
TA11254	267	303	276	17.0	22
TA11255	267	303	276	17.0	22
TA11256	267	303	276	17.0	22
TA1136	267	303	276	17.0	22
TA1140	267	303	276	17.0	22
TA1153	267	303	276	17.0	22
AO90	267	304	277	16.0	23
TA68	267	304	279	16.0	23
TA1389	267	305	279	15.0	23
RAJ3765	267	306	279	14.0	23
SRR13358695	267	306	279	14.0	23
